company_uuid,person_uuid,role,title
8896ebc0-c182-3250-a26e-f1ed9cfd03ca,295c895e-429b-db0a-ff49-4bd2ce97d1df,c_suite,"CEO, Founder"
16d9c09a-801a-53da-3ab6-27ce7852a915,aab56361-fde8-e117-ee6c-dc3e0edc4d75,c_suite,CEO and Co-founder
16d9c09a-801a-53da-3ab6-27ce7852a915,a553c179-cf10-c6cf-ea88-7e819c8ef932,c_suite,Co-founder & CTO
16d9c09a-801a-53da-3ab6-27ce7852a915,bc3c6816-6843-4bd8-883d-055b3399459a,vp,Head of Sales
16d9c09a-801a-53da-3ab6-27ce7852a915,7125e43d-5962-a6a6-8858-c5e3e9961416,vp,VP of Partnerships and Technical Integrations
16d9c09a-801a-53da-3ab6-27ce7852a915,51541a3d-a068-6c0b-8a21-bb7450e9cbf3,other,Frontend Team Lead
69487827-008f-2884-8ff5-d962a77f6b34,96227b17-40b2-24de-0c8e-e230c082ed3a,c_suite,Chief Marketing Officer
69487827-008f-2884-8ff5-d962a77f6b34,d4952bca-001d-a43e-b58e-753b74aca8ef,other,Senior Cloud Solutions Architect
22842c69-801b-9d41-a1bc-92d3a5170092,2416b4af-169a-fb16-f9de-61a8bc7978f7,board_member,Chairman
22842c69-801b-9d41-a1bc-92d3a5170092,58237595-7064-66c1-2bab-8be4989aaf7b,founder,Co-Founder & Chief Design Officer
22842c69-801b-9d41-a1bc-92d3a5170092,52ba619e-b69e-fcc4-7286-72ca1cf97510,c_suite,Founder and CTO
7cbe2ea6-e087-71da-910d-ee797c52f282,b8b04a6a-efab-eca1-a8f8-ea141e3689fb,advisor,Telecom and Security advisor
75ed083c-c6bf-d395-9a3c-a6e42cf67e67,03124192-e783-2515-81d0-f67d7c2e91ec,founder,Co-Founder
75ed083c-c6bf-d395-9a3c-a6e42cf67e67,8a5e3a5e-0860-4e8d-a004-f4395f28520e,founder,Co-Founder and Senior Software Engineer
75ed083c-c6bf-d395-9a3c-a6e42cf67e67,0f042ab0-4cf1-97cd-0309-fe48cf666f96,c_suite,Cofounder & CEO
08850f6a-2976-ec06-7ed7-fd39162decf5,6192ea88-a971-948b-cbdc-2a10fab410d3,c_suite,Co-Founder & CEO
08850f6a-2976-ec06-7ed7-fd39162decf5,ec09c6ff-4588-7ca1-5ebd-b2169590372d,c_suite,Co-Founder & CTO
08850f6a-2976-ec06-7ed7-fd39162decf5,e3debd28-5a90-4e57-ac13-358570ef4008,other,Associate Marketing & Technical Content Writer
