investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
56ff2591-eab4-4451-8707-23b466e37bdf,lakshman-sankar,Lakshman Sankar,person,angel_investor,,
66917f2e-52b5-699c-0136-c6e8a6681dbd,mohamad-taha,Mohamad Fayez Taha,person,angel_investor,,
93d9cd9f-97e3-fa83-9f08-fc219ba84acf,roger-j-sippl,Roger J. Sippl,person,angel_investor,,
7bc759a2-2d16-3e13-379e-d66f6e308089,vijaya-gadde,Vijaya Gadde,person,angel_investor,,
92b23314-6495-49d5-914d-14497d400634,arya-asemanfar-0634,Arya Asemanfar,person,angel_investor,,
6b6ca0b1-eba3-40c1-a3ba-e02f7ee59901,dani-gallagher-9901,Dani Gallagher,person,angel_investor,,
d46438de-145c-4ee5-95a3-c334f30a52cd,james-gallagher-52cd,James Gallagher,person,angel_investor,,
26a3c694-f7e1-4f3d-8bd4-e95a15fe0239,jonathan-chen-0239,Jonathan Chen,person,angel_investor,,
dfbdf38b-8bd4-6f03-23f7-10d9eb4b05f2,mo-al-adham,Mo Al Adham,person,angel_investor,,
7a2cf2fa-9082-0bbd-9ca0-ea172cf6978a,nick-kallen,Nick Kallen,person,angel_investor,,
295a0287-b184-45dd-8a4a-027e715b27c0,alfaraj-growth-ventures,Alfaraj Growth Ventures,organization,,,https://alfaraj.vc/
3cfe3f1d-a605-4588-9d0e-ca912711b690,tambi-jalouqa,Tambi Jalouqa,person,angel_investor,,
f5b4cba6-6916-4638-a1b6-794c234071e7,10bond,10 BOND,organization,venture_capital,,https://10bond.com
6c9758f1-fe9a-7bf3-6f17-dbc1a2df7164,kevin-freedman,Kevin Freedman,person,angel_investor,,
a2afba9e-c6bb-4c8d-b073-337f5a8eae76,hivemind-capital-partners,Hivemind Capital Partners,organization,venture_capital,,https://www.hivemind.capital/
071ec30c-7dd2-4251-bd65-cb839b0b299c,oak-seed-ventures,Oakseed Ventures,organization,"micro_vc,venture_capital",,https://www.oakseedvc.com
a1505e1a-3b3d-476d-b710-6b9afc933f86,the-maum-group,The Maum Group,organization,private_equity_firm,,https://www.maumgroup.com
8a1cd628-d35f-a9b9-6d1c-6919f9f2e188,steven-saxton,Steven Saxton,person,angel_investor,,
6696dc2e-f6e8-42c6-8515-34d3dd6e604a,aegis-ventues,Aegis Ventues,organization,venture_capital,,https://www.aegis.ventures/
6f1e13b3-e2d4-4016-b2ff-231292c153fe,elvis-zhang,Elvis Zhang,person,angel_investor,,
8e7b1b2a-5f91-4943-a20f-c561f4cc8181,laksh-vaaman-sehgal,Laksh Vaaman Sehgal,person,angel_investor,,
75d786b5-88a9-4c15-8e21-80ffae75f1d8,matrix-partners-capital,Matrix Partners Capital,organization,private_equity_firm,,
491bd619-ae4b-48f8-969d-21a096d7e344,motherson-innovations,Motherson Innovations,organization,,,https://www.motherson-innovations.com/
35cc71e7-34b9-4fd1-b84a-56e36540bea7,rohan-taori,Rohan Taori,person,angel_investor,,
b4566448-b4af-4144-bf26-188f096b6470,teknium,Teknium ‎‏‏‎ ‎,person,angel_investor,,
0029836e-5dec-d285-c440-00d33464ede2,vipul-ved-prakash,Vipul Ved Prakash,person,angel_investor,,
91964163-8604-93a6-fb30-8b54d0705cee,motherson-sumi-systems,Samvardhana Motherson International,organization,,,http://www.motherson.com
ede087bb-823f-d0c5-c9f4-05de420da4c5,manuel-bronstein,Manuel Bronstein,person,angel_investor,,
61517dbd-6cce-1912-d638-e17902d89534,kevin-mayer,Kevin Mayer,person,angel_investor,,
a045d59c-e527-4e05-bd60-ec993b8d0cc0,100-acre-ventures,100 Acre Ventures,organization,venture_capital,,https://www.100acreventures.com/
7d742f39-9bd6-4b7c-a6a4-54144e5c7d58,dao-jones-7d58,Dao Jones,person,angel_investor,,
b5b29ff0-1278-47cc-b8d8-6361c21ee6e2,joão-amoedo,João Amoedo,person,angel_investor,,
