company_uuid,funding_total_usd,log_funding,num_funding_rounds,employees_ordinal,company_age_months,num_founders,founder_has_phd,founder_has_mba,max_founder_prior_jobs,avg_founder_prior_jobs,team_size,c_suite_count,board_count,advisor_count,is_success,company_degree,company_degree_centrality,company_pagerank,company_betweenness,avg_investor_degree,max_investor_degree,avg_investor_pagerank,max_investor_pagerank,avg_investor_betweenness,investor_clustering_coeff,investor_coinv_density,num_lead_investors,fund_type_grant,fund_type_non_equity_assistance,fund_type_other,fund_type_pre_seed,fund_type_seed,fund_type_series_a,fund_type_series_b,fund_type_series_c,fund_type_series_unknown
76e04916-6fdb-43bc-bb40-1dae64f5c0ef,5000000.0,15.424948670398354,1,5.0,48.98160315374507,0,0,0,0,0.0,0,0,0,0,0.0,1,4.3848110146452686e-05,1.7419851014763383e-05,0.0,5.0,5,6.247375951574616e-05,6.247375951574616e-05,0.00035659227583411047,0.004589477380464237,0.0,0,False,False,False,False,False,False,False,False,True
91f29f0f-cb10-47e3-87bd-23af541bdb90,1000000.0,13.815511557963774,1,2.0,83.96846254927726,4,0,0,0,0.0,0,0,0,0,0.0,2,8.769622029290537e-05,3.14614979329624e-05,4.18347656696812e-05,3.0,5,3.258506556882901e-05,4.540521444072241e-05,4.575539293451966e-05,0.0016438559504976626,1.0,0,False,False,False,False,True,False,False,False,False
d1d514e3-1b74-4d02-b065-780d3a0e9b6c,11000000.0,16.213405921671733,2,1.0,23.98160315374507,3,0,0,6,3.6666666666666665,3,2,0,0,1.0,19,0.0008331140927826011,0.00014857419578401701,0.0005852494112209323,21.31578947368421,139,0.00015379862185855154,0.0009511958664952452,0.0013854394429811893,0.0032654097604129266,0.695906432748538,0,False,False,False,False,True,False,False,False,False
ab851a23-eb2f-41d5-a14b-23becc05466f,1800000.0,14.403297778421795,1,2.0,53.745072273324574,0,0,0,0,0.0,0,0,0,0,0.0,2,8.769622029290537e-05,3.560088513942607e-05,4.18347656696812e-05,3.0,5,4.121498863302177e-05,6.090712801365086e-05,5.935716136379787e-05,0.0014051383835753763,1.0,0,False,False,False,False,True,False,False,False,False
6167997d-fdc1-4e89-a37a-bf4a748e4fee,2200000.0,14.603968372873895,1,2.0,25.985545335085412,1,0,0,5,5.0,4,3,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,False,False
43555f1e-3c8e-48a2-b659-82c40c87c01c,15500000.0,16.5563506464056,2,1.0,83.96846254927726,3,0,0,5,2.6666666666666665,1,1,0,0,0.0,6,0.0002630886608787161,7.05760313106808e-05,0.00013910267851604594,8.166666666666666,26,6.823814841005387e-05,0.00018561287688230476,0.0002795101111788642,0.005266104320222971,1.0,0,False,False,False,False,True,False,False,False,False
4409d68c-3d65-453a-b2f3-86ae17de0e33,20000000.0,16.811242881518265,2,2.0,23.98160315374507,2,0,0,7,4.0,3,1,0,0,1.0,6,0.0002630886608787161,5.490096942408668e-05,6.314792917462312e-05,16.166666666666668,56,0.0001246581077570701,0.0004130422791838958,0.0005424355167878473,0.0028700447990503554,1.0,0,False,False,False,False,False,True,False,False,False
76680e55-61a6-4fbe-9352-19e41c4aae8a,15900000.0,16.58182973008354,2,1.0,18.988173455978973,1,1,0,1,1.0,0,0,0,0,1.0,2,8.769622029290537e-05,1.9441639301314265e-05,5.933781216056054e-06,27.5,45,0.00020286207984270804,0.00033250329133154585,0.0027558142958159513,0.002353500210011795,1.0,0,False,False,False,False,True,False,False,False,False
32178542-a482-400c-b8ef-df28fc9b6494,2700000.0,14.80876270134486,1,1.0,35.972404730617605,1,0,0,1,1.0,0,0,0,0,0.0,1,4.3848110146452686e-05,1.6986447953386532e-05,0.0,5.0,5,6.012109013808623e-05,6.012109013808623e-05,0.00010521640879467016,0.004242537915543293,0.0,0,False,False,False,False,True,False,False,False,False
1ba6da0c-8075-49ef-995d-4f48e309f555,40400000.0,17.514340367683854,1,3.0,35.972404730617605,0,0,0,0,0.0,0,0,0,0,1.0,2,8.769622029290537e-05,2.070300726960182e-05,1.4476529907589158e-06,9.5,12,7.577555263983557e-05,9.189631169302597e-05,0.0002299685717423995,0.0025279584489700676,1.0,0,False,False,False,False,False,True,False,False,False
