company_uuid,edu_data_available,founder_top_univ_count,founder_univ_degree_avg,founder_univ_pagerank_max,co_alumni_investor_overlap,founder_alumni_network_size,founder_ex_faang_count,founder_ex_startup_count,founder_prior_org_pagerank_max,coworker_investor_overlap,founder_coworker_network_size,founder_industry_diversity,founder_investor_social_proximity,team_network_reach
670b2514-7246-4f7a-bafa-79196ce53b4c,0,0,,,0.0,,0,0,7.354833964623249e-06,0.0,0.0,1,0.0,0.0
7e27285e-b46f-4474-af3b-ae030a02f6be,1,0,34.0,0.00041475222138471764,0.0,66.0,0,0,,0.0,,0,0.0,66.0
2a5dc9c6-d368-4b33-9774-930202f984e2,0,0,,,,,0,0,,,,0,,
bf0b7ba6-e76c-4381-a4b6-99fd307cbdbd,1,0,36.0,0.0006643742348223158,0.0,105.0,0,1,1.1246944599135598e-05,0.0,6.0,5,0.0,110.0
88d15ab5-8622-41b1-be6c-d39182ef225a,0,0,,,0.0,,0,0,,0.0,,0,0.0,
7e1a564d-efe8-4f11-8ea4-00d7392a7caf,1,1,1324.0,0.008007899771998483,3.0,1323.0,0,0,1.2533837922098792e-05,0.0,6.0,1,1.0,1329.0
f51e52ae-d6b5-47fa-9bf2-7f26085444c5,1,0,6.0,5.365911467372056e-05,0.0,5.0,0,0,5.511007740316327e-06,0.0,0.0,3,0.0,5.0
a40a5936-fbb9-4eef-b18f-88c061723339,1,2,1687.5,0.014637025750933357,3.0,3222.0,0,0,,0.0,,0,1.0,3222.0
270810c6-f29a-4949-89f5-eb28a1fc78c2,0,0,,,0.0,,0,0,,0.0,,0,0.0,
5b788368-2f53-1bfc-53b5-923721ace6ed,1,3,1227.0,0.014637025750933357,2.0,2445.0,0,0,4.119341706341978e-06,0.0,0.0,1,1.0,2445.0
da1e905e-94e6-4e47-9bcd-206055d14829,1,1,159.5,0.003960749167964112,1.0,634.0,0,0,0.00011371291795569099,0.0,74.0,19,1.0,707.0
1e3ab658-ca8b-4176-ad7d-3a1aa1067b45,1,1,1118.5,0.014637025750933357,1.0,4339.0,2,0,0.006210892662814863,0.0,3715.0,9,2.0,7892.0
beacacbc-069f-4b7b-abd7-0f132932c315,1,0,9.0,7.755577821029853e-05,0.0,8.0,0,0,7.354833964623249e-06,0.0,0.0,1,0.0,8.0
817142a1-d35b-494b-9239-32828df3e985,1,0,38.0,0.00042945130155889045,0.0,73.0,0,1,4.7033441300232016e-05,1.0,66.0,16,1.0,138.0
fd1de9e5-fb3f-ddfd-22f6-a6802dcfc0da,0,0,,,0.0,,0,0,,0.0,,0,1.0,
f6bd85e4-be8e-b42a-60c9-1b1b049b849a,1,4,577.8571428571429,0.00822202819683725,5.0,3917.0,0,0,0.00018349431643405846,2.0,108.0,7,2.0,3974.0
b495263b-3fef-d76c-6c20-5ba6699ed2d9,1,0,63.0,0.0010304319844918056,0.0,304.0,0,0,3.819661340823328e-06,0.0,0.0,1,1.0,304.0
f959822f-7c38-476b-bd26-68d41d113d38,0,0,,,0.0,,0,0,,0.0,,0,0.0,
77e86fc9-8d29-4597-aed8-a7f7bf5be701,0,0,,,,,0,0,,,,0,,
d0ad1d60-8efd-40bd-bfc5-4645a77ab3d0,0,0,,,0.0,,0,0,,0.0,,0,0.0,
b932775f-ed55-45e0-810b-1e770d7c7b23,0,0,,,0.0,,0,0,8.414591017745121e-06,0.0,3.0,1,1.0,3.0
f55589c3-08d2-40fa-9339-7d4c640b4f79,1,3,1015.3333333333334,0.014637025750933357,1.0,3019.0,0,0,,0.0,,0,1.0,3019.0
21e114f5-6257-4e52-8fbe-2c23f2e8f67e,1,1,236.0,0.003960749167964112,0.0,705.0,0,0,0.00018175666905061345,2.0,188.0,7,2.0,887.0
fb95f45f-0ce9-2e93-6fff-ff967f2099e9,0,0,,,,,0,0,,,,0,,
49497b8f-e446-4455-b8f5-982602705770,1,0,11.0,7.258735996990583e-05,0.0,10.0,0,0,,0.0,,0,0.0,10.0
1b0efce5-d30f-40d5-bd22-7c1a885e819e,0,0,,,0.0,,0,0,,0.0,,0,0.0,
8fbb7457-d354-433a-a13f-bfbd72c0a58c,0,0,,,0.0,,0,0,5.0646032706616055e-06,0.0,0.0,2,0.0,0.0
fa3104bf-3d4a-974a-4249-0ae7c8922123,1,0,86.0,0.0005745336477932634,0.0,85.0,0,0,4.211498727531749e-06,0.0,0.0,2,0.0,85.0
3caa56bb-a30b-47f5-a8e5-38124d748168,1,1,274.0,0.004511471299560445,4.0,2120.0,0,0,2.4082264306039583e-05,1.0,16.0,2,1.0,2134.0
f2ef5516-6602-4842-9788-1c092dd7d657,0,0,,,0.0,,0,0,,0.0,,0,0.0,
9cf0455b-98fd-4214-98bf-5e21ac4d248a,0,0,,,,,0,0,,,,0,,
fec5df2a-abb3-4a15-ad6f-aae76d12fa99,0,0,,,0.0,,0,0,,0.0,,0,1.0,
4e2f9e42-de9e-47f3-a620-aeec16e1f1b0,1,1,345.5,0.003960749167964112,1.0,689.0,0,0,,0.0,,0,1.0,689.0
b5a3f824-d5b3-4e7e-be2e-2e7aaf71713b,0,0,,,0.0,,0,0,5.495222647523398e-05,0.0,28.0,4,0.0,28.0
7381216c-e28e-49a0-a6c6-6eccd3f4322b,1,0,261.0,0.0016368665064276744,0.0,260.0,1,0,0.006956676171922294,2.0,5119.0,8,1.0,5361.0
e08ca6c7-7266-40fd-b00b-3dce8e902c72,1,1,387.5,0.00822202819683725,4.0,1543.0,0,0,4.720787900141131e-06,0.0,0.0,1,1.0,1543.0
6b7356d1-0116-aec9-7dea-296e09a2f8b2,1,2,1186.0,0.014637025750933357,3.0,5533.0,0,1,0.000254804272157174,2.0,276.0,15,2.0,5754.0
a380c71b-c2a2-407f-a3d6-b9eba15da59a,1,0,217.0,0.0023558434765480127,0.0,432.0,0,0,,0.0,,0,0.0,432.0
e764c2aa-9381-4380-a027-44c748f33c61,1,0,49.0,0.00046019245094345993,0.0,142.0,0,0,,0.0,,0,0.0,142.0
43ddb723-ceb3-4183-b714-649edeec3904,0,0,,,0.0,,0,0,3.333099387345876e-05,0.0,15.0,1,0.0,15.0
1b3f4520-d69f-a2ef-fdc0-0496a9360b10,1,0,70.0,0.00043117505968183684,0.0,69.0,0,0,0.00023934172335133484,0.0,148.0,5,0.0,217.0
